id_producto,nombre,categoria,unidades,precio_unit,vencimiento,proveedor
PRD001,Amoxicilina 250mg,Antibiótico,120,850,2026-06-30,VetFarma SA
PRD002,Meloxicam 2mg,Antiinflamatorio,85,1200,2026-09-15,BioVet SRL
PRD003,Ivermectina 1%,Antiparasitario,60,950,2026-03-20,VetFarma SA
PRD004,Frontline Spray,Antiparasitario,40,3500,2027-01-10,MediAnimal
PRD005,Suero fisiológico 1L,Solución,200,400,2026-12-01,BioVet SRL
PRD006,Ketamina 10%,Anestésico,25,5800,2026-05-01,MediAnimal
PRD007,Cefalexina 500mg,Antibiótico,35,1100,2027-02-15,VetFarma SA
PRD008,Prednisolona 20mg,Antiinflamatorio,42,980,2026-11-20,BioVet SRL
PRD009,Enrofloxacina 50mg,Antibiótico,28,1350,2027-01-10,MediAnimal
PRD010,Pipeta Canina M,Antiparasitario,18,2900,2026-08-05,PetCare SA
PRD011,Pipeta Felina,Antiparasitario,45,2500,2026-08-05,PetCare SA
PRD012,Tramadol 50mg,Analgésico,22,1600,2027-03-18,BioVet SRL
PRD013,Vitamina B12,Suplemento,75,700,2027-05-01,VetFarma SA
PRD014,Clorhexidina Spray,Antiséptico,38,1900,2026-10-15,MediAnimal
PRD015,Gasas Estériles,Insumo,150,250,2028-01-20,MedSupply SA
PRD016,Jeringa 5ml,Insumo,300,120,2029-12-31,MedSupply SA
PRD017,Lidocaína 2%,Anestésico,12,3400,2026-12-10,MediAnimal
PRD018,Atropina 1mg,Medicamento,30,2100,2027-04-22,BioVet SRL
PRD019,Shampoo Medicado,Higiene,48,1800,2027-02-01,PetCare SA
PRD020,Collar Antipulgas,Antiparasitario,20,4200,2027-06-10,PetCare SA
PRD021,Albendazol 100mg,Antiparasitario,55,850,2026-09-30,VetFarma SA
PRD022,Omeprazol 20mg,Medicamento,43,950,2027-01-12,BioVet SRL
PRD023,Doxiciclina 100mg,Antibiótico,17,1450,2027-07-15,VetFarma SA
PRD024,Alcohol 70%,Antiséptico,90,600,2028-03-01,MedSupply SA
PRD025,Vendas Elásticas,Insumo,65,350,2028-08-01,MedSupply SA
PRD026,Suplemento Articular,Suplemento,24,2800,2027-11-20,BioVet SRL
PRD027,Antifúngico Tópico,Dermatológico,14,3200,2027-05-05,MediAnimal
PRD028,Gotas Óticas,Otológico,41,1700,2026-12-31,PetCare SA
PRD029,Solución Oftálmica,Oftalmológico,36,2200,2027-02-14,BioVet SRL
PRD030,Metronidazol 250mg,Antibiótico,29,1300,2027-03-25,VetFarma SA
PRD031,Carprofeno 50mg,Antiinflamatorio,11,2400,2027-09-01,MediAnimal
PRD032,Desparasitante Oral,Antiparasitario,47,1250,2027-04-10,PetCare SA
PRD033,Guantes Descartables,Insumo,500,80,2029-01-01,MedSupply SA
PRD034,Termómetro Digital,Equipamiento,8,6500,2030-01-01,VetEquip SA
PRD035,Nebulizador Veterinario,Equipamiento,5,18000,2030-01-01,VetEquip SA
PRD036,Oxitetraciclina 100mg,Antibiótico,33,1550,2027-08-12,VetFarma SA
